filename,plane,ship,none
0__20170723_174715_1021__-117.89887014942325_33.63851811952057.png,0,0,1
0__20151118_160627_0c72__-118.08118786134186_33.768226768024164.png,0,0,1
0__20170423_174145_100e__-117.205513413_32.7322548406.png,0,0,1
0__20170615_181427_0e0d__-122.38092201848103_37.61854194462271.png,0,0,1
0__20151118_160631_0c72__-117.89765489761655_33.62115629419482.png,0,0,1
1__20170307_180341_1029__-122.378675896_37.6281739448.png,1,0,0
0__20151112_182747_0c47__-118.19403016173764_33.79215877142779.png,0,0,1
0__20170830_181003_0f4e__-122.11879205124424_37.74558283712675.png,0,0,1
0__20170909_181729_0e0f__-122.35657904627222_37.79608902558206.png,0,0,1
1__20161003_213745_1_0c74__-118.380460619_33.9326669244.png,1,0,0
0__20170917_190708_0f44__-122.46542905557355_37.78935962790509.png,0,0,1
0__20170718_174852_1010__-118.4009469494562_33.94013367581259.png,0,0,1
0__20160214_204130_0c74__-117.203757108_32.7343144361.png,0,0,1
0__20150805_013132_0823__-118.470206202_33.9301818393.png,0,0,1
0__20161018_174611_0e19__-118.053165095_33.8026136943.png,0,0,1
0__20160829_195802_0c72__-122.383740032_37.6189622963.png,0,0,1
0__20151115_171908_0c64__-119.091961580801_34.16092885938124.png,0,0,1
1__20170325_175321_0e20__-118.40483797_33.946180495.png,1,0,0
0__20170419_181316_0e0d__-122.39304981_37.6195243111.png,0,0,1
1__20160820_233143_0c53__-122.34722781164949_37.75902080540278.png,0,1,0
0__20170328_181231_0e0f__-122.53113595870978_37.75446101087472.png,0,0,1
0__20150718_184258_090b__-122.333442617_37.647892006.png,0,0,1
0__20160821_174758_0c43__-117.20095278779462_32.78303076263801.png,0,0,1
0__20170530_003720_0c76__-117.887149175_33.6721264123.png,0,0,1
0__20161015_180427_0e2f__-121.634220449_38.6513186534.png,0,0,1
0__20170225_180318_0f1d__-122.45935427580238_37.71116058178759.png,0,0,1
0__20161107_180612_0e0e__-122.05957896248309_37.672714494322776.png,0,0,1
0__20160720_174504_0e3a__-118.2730183964212_33.883085144689645.png,0,0,1
0__20180712_180429_101b__-118.26398795200797_33.72133450335209.png,0,0,1
0__20160625_150351_0c18__-117.606471989_34.0605448356.png,0,0,1
0__20170328_181231_0e0f__-122.52190422919297_37.770728775695524.png,0,0,1
0__20170613_180814_1017__-122.38841638011279_37.62077126962482.png,0,0,1
0__20170125_180820_0e14__-121.65059286_38.7029001554.png,0,0,1
0__20160418_180830_0b0a__-117.197287789_32.7336211662.png,0,0,1
0__20170909_181729_0e0f__-122.10398230361591_37.793357119897664.png,0,0,1
0__20170602_174542_101f__-117.72156944157574_33.63075093007744.png,0,0,1
0__20170425_144318_0c46__-117.908322517_33.7161022293.png,0,0,1
0__20170420_174631_1009__-118.404587945_33.9404709404.png,0,0,1
1__20170121_175133_0e14__-118.404482596_33.9472632459.png,1,0,0
0__20170405_180503_1003__-122.390649562_37.6178895368.png,0,0,1
0__20170511_180600_1031__-122.216990858_37.7105301611.png,0,0,1
0__20170226_180943_0e26__-122.15261468423239_37.76264917627414.png,0,0,1
0__20151118_160418_0c53__-118.34605772704856_33.801713153525.png,0,0,1
1__20160316_153300_0b0a__-122.388820316_37.619920165.png,1,0,0
0__20170102_180706_0e0d__-121.499455694_38.7142773737.png,0,0,1
1__20170520_174843_1008__-118.402131651_33.9332632117.png,1,0,0
1__20170627_175609_0e2f__-118.41075937273787_33.94017122483245.png,1,0,0
0__20151227_171358_0c53__-121.92364646004684_37.303675641965825.png,0,0,1
0__20170620_174628_0f15__-117.56422875715434_34.028846905269546.png,0,0,1
1__20170622_180819_1034__-122.34996889431777_37.74935585390901.png,0,1,0
0__20151101_223403_0c07__-117.58573794156256_34.023632725231906.png,0,0,1
0__20170626_180908_1015__-122.38192525375204_37.61643807942163.png,0,0,1
0__20170709_180806_1024__-122.08583228577733_37.739896955433146.png,0,0,1
1__20160714_165521_0c59__-118.403682865_33.9331101837.png,1,0,0
1__20170407_175220_0e26__-118.40520616_33.9419422102.png,1,0,0
0__20170712_180829_0f41__-121.50587971758024_38.64266673514528.png,0,0,1
0__20150901_230308_0b0a__-118.09340138191598_33.80648428898436.png,0,0,1
0__20161218_180846_0e26__-122.49935560861145_37.70985003596194.png,0,0,1
0__20150411_004132_0824__-118.353042940428_33.96104127803482.png,0,0,1
0__20160829_195923_0c72__-117.643092611_34.071316299.png,0,0,1
0__20161018_192054_0d05__-122.44684647_37.6950679936.png,0,0,1
1__20170511_174540_100f__-117.860945144_33.6814674206.png,1,0,0
0__20160901_174551_0e0e__-118.36318223027943_33.87606033556151.png,0,0,1
0__20161019_181958_0c41__-118.38645427_33.9351574925.png,0,0,1
0__20170505_181300_0e2f__-122.378779641_37.6268049339.png,0,0,1
0__20170624_215119_1_0c19__-119.0781117165022_34.13086880476901.png,0,0,1
0__20170701_181015_1042__-122.36505220565711_37.865057573726304.png,0,0,1
1__20170617_170358_0c13__-118.40592455007884_33.93955085537867.png,1,0,0
1__20170504_180621_102d__-122.383404063_37.6195318337.png,1,0,0
0__20151112_182725_0c18__-117.92493403259932_33.63166987607711.png,0,0,1
1__20170613_180813_1017__-122.33788218155145_37.73763458088861.png,0,1,0
0__20170501_180553_1018__-122.220089903_37.7168508781.png,0,0,1
1__20170121_175133_0e14__-118.411010894_33.9417428165.png,1,0,0
0__20170612_180829_1036__-122.3803202560526_37.61732198366842.png,0,0,1
0__20170416_185911_0c44__-118.430708262_33.9398995918.png,0,0,1
0__20170620_180742_102f__-122.32437176284208_37.72566055336707.png,0,0,1
0__20150904_214556_0b0e__-121.921294447_37.3403482308.png,0,0,1
0__20161229_175033_0e0d__-118.339719015811_33.85242853875306.png,0,0,1
0__20160811_174013_0e0e__-117.22399111761067_32.74637670766026.png,0,0,1
0__20170214_175431_0e20__-118.958921428_34.1178971057.png,0,0,1
0__20170211_181118_0e16__-122.35036037_37.6069667525.png,0,0,1
0__20161010_214835_1_0c78__-117.946373524_33.7197938417.png,0,0,1
0__20170625_174431_0f1b__-117.19783180329163_32.733484997808674.png,0,0,1
0__20170626_180907_1015__-122.32226540865656_37.67659863784875.png,0,0,1
0__20150412_001740_1_0823__-118.453254558_33.965877543.png,0,0,1
0__20170619_180820_0f3f__-122.274780517581_37.553365708902064.png,0,0,1
0__20170615_174851_100b__-118.40788978963978_33.941894133013115.png,0,0,1
0__20160830_220132_0c37__-118.303952403_34.0630780564.png,0,0,1
0__20170504_180547_1025__-122.37504936897955_37.80397574651562.png,0,0,1
1__20170617_181435_0e0f__-122.38177234728307_37.615117293913364.png,1,0,0
0__20170620_174901_0f3f__-118.1943664188363_33.9002139374032.png,0,0,1
0__20161031_211238_1_0c37__-118.387633918_33.9338456079.png,0,0,1
0__20170629_174845_0f38__-118.01477213204049_33.828313991965686.png,0,0,1
0__20161104_180551_0e16__-121.929226787_37.3684341628.png,0,0,1
1__20170625_174954_1021__-118.40628730923756_33.94184452719216.png,1,0,0
0__20170724_190013_0f21__-118.25762780471021_33.75143093667554.png,0,0,1
0__20170424_174737_0f52__-118.406092353_33.9391822308.png,0,0,1
1__20180712_180429_101b__-118.12564883363834_33.66758682744614.png,0,1,0
0__20150827_012518_1_0b0a__-118.429706058_33.9440234163.png,0,0,1
0__20170307_174523_100f__-118.431327439_33.9381068415.png,0,0,1
0__20160628_230903_0c13__-117.63312356448995_34.02485892259401.png,0,0,1
0__20170709_181333_0e0e__-122.3788089994296_37.72936695999068.png,0,0,1
1__20160830_220133_0c24__-118.380460619_33.9326669244.png,1,0,0
0__20160715_174339_0e30__-117.97950832366266_33.79488729319238.png,0,0,1
0__20170403_180411_100f__-122.0817469318917_37.7260752833062.png,0,0,1
0__20170703_180944_1009__-122.36855924715424_37.785743734182205.png,0,0,1
1__20161218_180847_0e26__-122.391000256_37.6183325083.png,1,0,0
0__20170303_174101_0f1d__-117.45053049813829_33.97471614938038.png,0,0,1
0__20170602_174849_1029__-118.43425648711873_33.9230849195918.png,0,0,1
0__20170729_233954_0c42__-118.41314909294245_33.96942878158317.png,0,0,1
0__20160221_180212_0c53__-117.82392034930788_33.67253705977293.png,0,0,1
0__20151107_200808_0b0a__-122.00196225773193_37.35595568512866.png,0,0,1
0__20170421_174037_1025__-117.14326456997148_32.70863484645377.png,0,0,1
0__20170715_180932_101a__-122.17227745822875_37.709710977584784.png,0,0,1
1__20160830_220146_0c82__-118.432471848_33.9440714809.png,1,0,0
1__20170121_175133_0e14__-118.384444787_33.9340282356.png,1,0,0
0__20170404_233843_0c38__-118.254944106_33.853861941.png,0,0,1
1__20160731_174508_0e30__-118.401280761_33.9400622541.png,1,0,0
0__20170517_175118_1013__-119.0925036947609_34.143337526117364.png,0,0,1
0__20170723_181450_0e0e__-122.43560398152468_37.64288181425707.png,0,0,1
0__20170626_180908_1015__-122.37888545371199_37.62634581078227.png,0,0,1
1__20170504_180549_1025__-122.33004591866283_37.73821220943172.png,0,1,0
1__20170618_180802_0f34__-122.34193169401232_37.718648490168995.png,0,1,0
0__20160726_173908_0e30__-117.01721424619167_32.72795682669603.png,0,0,1
0__20151227_171358_0c53__-121.9165668514652_37.32524348148613.png,0,0,1
0__20170725_174823_1041__-117.6553555621899_34.02982897534431.png,0,0,1
0__20170613_180628_0f4e__-121.59237507790303_38.72138055206317.png,0,0,1
1__20170724_181038_1011__-122.38267731463824_37.61553584304619.png,1,0,0
0__20151214_214919_1_0c73__-118.4541931325042_34.011451630212626.png,0,0,1
0__20170622_180821_1034__-122.38793410795235_37.6132516307725.png,0,0,1
1__20170424_174737_0f52__-118.40994247_33.9454081326.png,1,0,0
0__20160221_175529_0c68__-117.274529338_32.6960487363.png,0,0,1
1__20170619_180825_1032__-122.34472890893157_37.72956099806479.png,0,1,0
0__20150616_214012_0823__-119.07186432_34.0854498271.png,0,0,1
1__20170524_181349_0e2f__-122.391744203_37.6186191553.png,1,0,0
0__20170429_180418_1001__-121.99326748614575_37.37289048134396.png,0,0,1
0__20160830_220150_0c82__-118.132586072_33.858158379.png,0,0,1
0__20170523_174302_0f51__-117.204331282_32.733366324.png,0,0,1
0__20170313_175003_0e0e__-117.863925487_33.6764847731.png,0,0,1
0__20151105_184838_090c__-122.378369436_37.6270731736.png,0,0,1
0__20150410_183139_0909__-122.131401326_37.6718052049.png,0,0,1
0__20160829_195808_0c72__-121.918268667_37.3010036652.png,0,0,1
0__20170604_225029_1_0c81__-121.94421915441347_37.434817532086214.png,0,0,1
0__20150813_225643_0b09__-118.5028543273522_34.02233712285447.png,0,0,1
1__20170430_201723_0c27__-118.411143507_33.9425814974.png,1,0,0
1__20170719_175047_100e__-118.40615913976173_33.94107550891825.png,1,0,0
0__20170211_181117_0e16__-122.378523882_37.6289397474.png,0,0,1
0__20160829_195802_0c72__-122.389711443_37.6203723741.png,0,0,1
1__20170620_180742_102f__-122.22061931619616_37.71682159665108.png,1,0,0
1__20161202_180738_0e30__-122.390622777_37.6206818522.png,1,0,0
0__20170723_181111_1028__-122.39407156940156_37.61928620168619.png,0,0,1
0__20170404_233842_1_0c38__-118.40177469_33.941125249.png,0,0,1
0__20151115_171129_0c18__-122.41001677940946_37.74361488681852.png,0,0,1
1__20160719_145642_0c78__-118.409152768_33.9395781611.png,1,0,0
0__20151112_182747_0c47__-118.16611855297423_33.88441387307383.png,0,0,1
1__20170101_201603_0c22__-118.415692225_33.9386713042.png,1,0,0
0__20161031_211238_1_0c37__-118.407495843_33.9396531625.png,0,0,1
0__20161217_180919_0e30__-122.46970150638818_37.79224510874861.png,0,0,1
0__20161022_180611_0e19__-122.07811501017659_37.796564427397136.png,0,0,1
1__20170325_175322_0e20__-118.404720067_33.9397512616.png,1,0,0
1__20170721_180939_0f31__-122.38267731463824_37.61553584304619.png,1,0,0
1__20161008_174747_0e26__-118.422929997_33.9456116016.png,1,0,0
0__20170606_174519_1033__-117.49206149255352_34.05821521401398.png,0,0,1
0__20170414_174545_1041__-118.36063178138686_33.79703510750999.png,0,0,1
0__20170405_180503_1003__-122.389237888_37.6117711811.png,0,0,1
0__20170508_171052_0c43__-122.388594761_37.6197446721.png,0,0,1
0__20170501_180553_1018__-122.33953700219004_37.739158073957995.png,0,0,1
1__20161008_174747_0e26__-118.403694401_33.9406663737.png,1,0,0
0__20150318_183154_0905__-121.905889093_37.3820651728.png,0,0,1
0__20170625_174431_0f1b__-117.19866476092609_32.73370017836261.png,0,0,1
0__20161214_174940_0e26__-118.32958092485674_33.92006630757238.png,0,0,1
0__20170626_174701_102d__-117.82796082547159_34.14190621861492.png,0,0,1
1__20170609_180758_103a__-122.39100025600172_37.61833250832772.png,1,0,0
1__20160905_193459_0c37__-122.391744203_37.6186191553.png,1,0,0
1__20170620_180743_102f__-122.38372979105291_37.61878671249797.png,1,0,0
0__20170713_180941_1002__-122.38848370361193_37.6125514378971.png,0,0,1
0__20170106_180852_0e30__-122.2624858868133_37.70127859295998.png,0,0,1
0__20151118_160415_0c53__-118.503826898_33.9466300841.png,0,0,1
0__20161102_174545_0e14__-117.639022994_33.6876201345.png,0,0,1
0__20160815_180226_0e30__-121.585823074_38.6931324428.png,0,0,1
0__20151115_171901_0c68__-117.32209080400038_32.767839674855544.png,0,0,1
0__20170718_181028_100e__-122.16137729059932_37.71352760603595.png,0,0,1
1__20161203_174949_0e30__-118.403682865_33.9331101837.png,1,0,0
0__20170121_175133_0e14__-118.402334904_33.9396579551.png,0,0,1
1__20170414_180531_0f28__-122.383729791_37.6187867125.png,1,0,0
0__20170606_175127_0e30__-117.72939089753282_34.057414800800444.png,0,0,1
1__20170619_181348_0e30__-122.37908793254296_37.626529392612895.png,1,0,0
0__20161202_180735_0e30__-122.33778854073893_37.694614133343194.png,0,0,1
0__20161018_192144_0c24__-122.38801773887562_37.80999245445229.png,0,0,1
0__20161204_174616_0e26__-117.64968273744442_34.099825433462506.png,0,0,1
0__20170419_180519_1009__-122.40020772803568_37.82400736566071.png,0,0,1
0__20160810_174548_0e16__-118.398707509_33.9421340806.png,0,0,1
0__20170909_181729_0e0f__-122.13312087275067_37.769510487963885.png,0,0,1
0__20170410_174723_0e30__-117.114544889_32.7281763068.png,0,0,1
0__20170505_181259_0e2f__-122.378124479_37.6279101229.png,0,0,1
1__20180711_180503_1027__-118.21702642511576_33.73868894279697.png,0,1,0
0__20170508_180614_1010__-122.438103559_37.6180168843.png,0,0,1
0__20170410_174723_0e30__-117.204299079_32.7332851898.png,0,0,1
1__20170618_175001_101e__-118.43018296845123_33.94511430182494.png,1,0,0
1__20161103_195402_0c24__-122.218636203_37.716696954.png,1,0,0
0__20170604_180822_0f52__-122.3841712285522_37.62026246976657.png,0,0,1
0__20170225_180319_0f1d__-122.35615023125872_37.57798441856329.png,0,0,1
0__20161105_193124_0c12__-119.18612247_34.1568798775.png,0,0,1
0__20170612_180828_1036__-122.31330100943342_37.66738031948113.png,0,0,1
0__20170717_180820_1010__-122.39264893493367_37.618656966414406.png,0,0,1
0__20170723_175153_101f__-118.40163290388942_33.94039640684796.png,0,0,1
0__20170101_201603_0c22__-118.404445692_33.9397150532.png,0,0,1
0__20170524_181346_0e2f__-122.43359118757674_37.773419877455396.png,0,0,1
0__20170727_174716_0f15__-117.08820277838909_32.67079820677835.png,0,0,1
0__20170615_181427_0e0d__-122.38784891341676_37.619497444659366.png,0,0,1
0__20161110_174803_0e16__-118.03151671051876_33.78107066741194.png,0,0,1
1__20170627_175608_0e2f__-118.38046061940905_33.932666924381685.png,1,0,0
0__20170514_175301_0e3a__-117.861603956_33.6805865857.png,0,0,1
0__20170501_180613_100e__-122.3422842399516_37.578448777648035.png,0,0,1
0__20161204_174623_0e26__-117.796606329_33.6829166863.png,0,0,1
1__20161116_180805_0e14__-122.389930523_37.6204207678.png,1,0,0
0__20180710_180333_1002__-118.2104341540985_33.705096524800105.png,0,0,1
0__20161026_153431_1_0c46__-118.23660703924071_33.9224689941657.png,0,0,1
1__20170722_175150_1033__-118.40497658522878_33.940618514147936.png,1,0,0
1__20170430_174727_1029__-118.385811886_33.9349447062.png,1,0,0
1__20170328_181232_0e0f__-122.377944529_37.628239846.png,1,0,0
0__20170620_174639_0f42__-117.58582384114115_34.03613223257715.png,0,0,1
0__20160825_002624_0c42__-119.164204163_34.0641656048.png,0,0,1
0__20150608_182654_090c__-118.3975928542916_33.96925475326039.png,0,0,1
0__20170617_181435_0e0f__-122.38046093443224_37.616754881182246.png,0,0,1
0__20170615_181427_0e0d__-122.40072681482869_37.67948404381425.png,0,0,1
0__20170602_174542_101f__-117.8118241059599_33.666366906433865.png,0,0,1
0__20170524_174812_102d__-118.405513535_33.9395134881.png,0,0,1
0__20160210_222532_0c18__-117.64265286290409_34.21517266168135.png,0,0,1
1__20170619_180820_0f3f__-122.39098260412968_37.61702131011873.png,1,0,0
0__20170602_174242_1021__-117.24575397629317_32.741708300410615.png,0,0,1
0__20170627_174811_101d__-117.86409242914084_33.676997688647276.png,0,0,1
0__20160306_195907_0c47__-122.44990616894822_37.492334527540045.png,0,0,1
0__20170721_174935_1013__-118.24696250728368_33.880321474147394.png,0,0,1
1__20160816_174559_0e30__-118.384444787_33.9340282356.png,1,0,0
0__20160720_174430_0e0d__-118.230773867_33.8666050699.png,0,0,1
0__20170601_233107_0c82__-118.02791174839285_33.736945127970074.png,0,0,1
0__20170723_180704_1018__-122.1844521687301_37.373930796162725.png,0,0,1
1__20170615_181426_0e0d__-122.22061931619616_37.71682159665108.png,1,0,0
1__20170416_174402_1025__-117.862785947_33.6786866175.png,1,0,0
0__20180206_184439_1043__-122.50136297007711_37.73027353801873.png,0,0,1
1__20170413_180453_1041__-122.377944529_37.628239846.png,1,0,0
1__20160719_180314_0e14__-122.392473183_37.61892497.png,1,0,0
0__20161207_174356_0e20__-117.185406151_32.6703674893.png,0,0,1
0__20171127_181539_101e__-122.33108315263758_37.709961819674255.png,0,0,1
0__20170613_174735_1039__-118.04602847201767_33.75676039754431.png,0,0,1
0__20170627_175043_100a__-118.4089869024933_33.93952788939699.png,0,0,1
0__20171127_185539_0f29__-122.1759337068425_37.84036214973597.png,0,0,1
0__20161001_174641_0e0f__-118.31015111170886_33.81027035711187.png,0,0,1
0__20170601_233107_0c82__-118.06318532421746_33.76900546070655.png,0,0,1
0__20170504_180551_1025__-122.380081865_37.6173748116.png,0,0,1
1__20161229_175031_0e0d__-118.402556217_33.9408337065.png,1,0,0
1__20170515_180655_1007__-122.379087933_37.6265293926.png,1,0,0
0__20160829_195802_0c72__-122.382984571_37.6157676216.png,0,0,1
0__20160828_223413_1_0c46__-121.547009971_38.7462909413.png,0,0,1
0__20170626_180908_1015__-122.39028844382044_37.620483517133614.png,0,0,1
1__20160914_161024_0c65__-117.207078321_32.73252599.png,1,0,0
0__20160809_180233_0e0f__-121.8374671739095_37.38033068628317.png,0,0,1
0__20150918_184622_0906__-122.09176861_37.724990242.png,0,0,1
0__20161116_174319_0e0f__-117.19791317826162_32.770289383182565.png,0,0,1
0__20170714_174815_1008__-117.53034479937646_34.03562647569827.png,0,0,1
0__20170613_174735_1039__-117.86236523575957_33.67903902757316.png,0,0,1
0__20170101_201603_0c22__-118.409533794_33.9411989713.png,0,0,1
0__20170713_174558_0f31__-117.2051978225443_32.73425796171952.png,0,0,1
0__20161022_180611_0e19__-122.04392119751017_37.771443273204845.png,0,0,1
0__20160830_220136_0c37__-118.06378056706315_33.830227721250715.png,0,0,1
0__20170723_181447_0e0e__-122.50331411214178_37.866100553048895.png,0,0,1
0__20170528_174539_0f18__-117.66134889_33.6062757077.png,0,0,1
0__20160414_203124_0c68__-117.720701936_34.0524336917.png,0,0,1
0__20170101_174437_0e20__-117.194349569_32.7223137359.png,0,0,1
0__20160905_193459_0c37__-122.349638333_37.6898129435.png,0,0,1
0__20170618_174928_1031__-118.38676038535296_33.94202576628751.png,0,0,1
0__20170615_180728_1003__-122.21018481830981_37.73928163388701.png,0,0,1
1__20170719_175047_100e__-118.40367372125274_33.93981168324312.png,1,0,0
0__20160816_174559_0e30__-118.403965556_33.9401263392.png,0,0,1
0__20170520_174842_1008__-118.37053688478014_33.9728055539994.png,0,0,1
1__20170723_180811_1005__-122.2154147239823_37.72063952626621.png,1,0,0
1__20160820_233143_0c53__-122.32816455984435_37.73917492083411.png,0,1,0
1__20170712_181047_1035__-122.3881170002434_37.61824803139686.png,1,0,0
0__20170830_181004_0f4e__-122.33773391279767_37.76191512522123.png,0,0,1
1__20170728_175002_102a__-118.4114733693187_33.945196840665126.png,1,0,0
1__20170416_174557_1028__-118.402131651_33.9332632117.png,1,0,0
0__20170727_012417_0c43__-117.94821399648309_33.81344884206158.png,0,0,1
0__20161128_174850_0e30__-118.432242895_33.9385020013.png,0,0,1
0__20170222_231254_1_0c27__-122.4347775076878_37.71599358487842.png,0,0,1
0__20161202_180737_0e30__-122.147224465_37.6416364236.png,0,0,1
0__20161001_174153_0e16__-117.076776279_32.741032642.png,0,0,1
1__20161209_215038_0c43__-118.404720067_33.9397512616.png,1,0,0
0__20170622_180821_1034__-122.38093614249087_37.616838495358365.png,0,0,1
1__20170415_174637_0f28__-118.403868492_33.9473234922.png,1,0,0
1__20160816_174600_0e0e__-118.406287309_33.9418445272.png,1,0,0
0__20170617_180536_1019__-121.54302712750177_38.67895502064622.png,0,0,1
0__20161202_180737_0e30__-122.379426015_37.6267542553.png,0,0,1
0__20170515_180654_1007__-122.3419825493718_37.720595620788025.png,0,0,1
0__20161101_174533_0e1f__-117.52273951757893_34.01964176506468.png,0,0,1
0__20161218_180846_0e26__-122.35850925300633_37.72650020921687.png,0,0,1
0__20161212_180859_0e30__-122.45796156987356_37.64063417200834.png,0,0,1
0__20170617_181435_0e0f__-122.46017205666404_37.626502346196176.png,0,0,1
0__20170414_180531_0f28__-122.3832259_37.619473371.png,0,0,1
0__20170228_175122_0e0f__-118.232936124_33.8320071307.png,0,0,1
0__20151118_160419_0c68__-118.39961234781228_34.00529446787831.png,0,0,1
0__20170613_180705_1040__-122.21263958004758_37.738973586134904.png,0,0,1
0__20170723_175153_101f__-118.40058320441328_33.9417069441488.png,0,0,1
1__20170703_180945_1009__-122.3459577321352_37.76014941682297.png,0,1,0
0__20170728_174629_1029__-117.33913571742181_32.70988187352084.png,0,0,1
0__20170520_175248_0e26__-118.202759164_33.8347131196.png,0,0,1
0__20170523_174302_0f51__-117.19059181630445_32.70158976713289.png,0,0,1
1__20160830_220133_0c24__-118.403694401_33.9406663737.png,1,0,0
0__20160804_180205_0e14__-121.531622024_38.6565095994.png,0,0,1
0__20170714_175017_1002__-118.40541928620401_33.941678878724375.png,0,0,1
0__20151118_160423_0c53__-117.98181425900148_33.673088125182865.png,0,0,1
0__20170723_180811_1005__-122.32660648008955_37.73827372866613.png,0,0,1
1__20170609_180757_103a__-122.2191957518366_37.71795957354926.png,1,0,0
0__20151227_171358_0c53__-121.90412318068644_37.24941506391412.png,0,0,1
0__20170716_175527_1006__-119.11564000250243_34.101798817389536.png,0,0,1
1__20170508_171052_0c43__-122.3782948_37.6276517358.png,1,0,0
0__20160911_174650_0e14__-118.47634141433171_34.00539831529963.png,0,0,1
0__20160720_174503_0e3a__-118.407365629_33.9416025338.png,0,0,1
1__20160816_174559_0e30__-118.402612513_33.9412655705.png,1,0,0
1__20170415_180506_1024__-122.3876445_37.6207868997.png,1,0,0
0__20160905_193459_0c37__-122.390965195_37.6167014033.png,0,0,1
0__20150827_012522_0b0a__-118.16580325251617_33.772840518065394.png,0,0,1
0__20170707_181135_100b__-122.33681999021636_37.73838571407204.png,0,0,1
0__20161003_213745_1_0c74__-118.400382279_33.9413304748.png,0,0,1
0__20141223_181026_0907__-117.85056722703936_33.73634612206534.png,0,0,1
0__20160831_180246_0e0e__-121.85031560372933_37.36882904932846.png,0,0,1
0__20170623_174751_101a__-117.86438367092943_33.67699565186216.png,0,0,1
1__20161108_174253_0e30__-117.204690145_32.7328729825.png,1,0,0
1__20170120_180944_0e14__-122.382677315_37.615535843.png,1,0,0
0__20170602_174242_1021__-117.18333463657221_32.75264000524752.png,0,0,1
0__20170414_180532_0f28__-122.389001954_37.611526599.png,0,0,1
0__20170423_180331_102e__-121.794402077_37.2848532598.png,0,0,1
0__20170714_174931_102c__-118.16937925323677_33.811874836038996.png,0,0,1
1__20160901_174550_0e0e__-118.400177745_33.9411240715.png,1,0,0
0__20180712_180755_0f2d__-118.22685609845573_33.72852699374143.png,0,0,1
0__20161016_192718_0c76__-117.8273347454661_33.63030502482287.png,0,0,1
0__20170722_181118_101f__-122.48056446808523_37.76882327620446.png,0,0,1
0__20170416_185911_0c44__-118.40470927_33.945880341.png,0,0,1
0__20160714_165520_0c59__-118.405169925_33.9324292751.png,0,0,1
0__20160629_154412_0c13__-121.99337464544854_37.34457995125329.png,0,0,1
1__20170619_180827_1032__-122.38938240646462_37.62014920146002.png,1,0,0
0__20160815_180229_0e0e__-121.509357927_38.667771299.png,0,0,1
1__20170702_180943_103c__-122.33561199169439_37.75925332587687.png,0,1,0
1__20170615_174723_103d__-117.86147270925086_33.680719138929.png,1,0,0
1__20170508_175352_0e19__-118.39902672_33.9403363423.png,1,0,0
1__20170620_180743_102f__-122.3786758956548_37.6281739447989.png,1,0,0
0__20170723_175153_101f__-118.39864791004511_33.942459405287174.png,0,0,1
